date,order_id,item_type,item_name,size,quantity,extra_cheese,unit_price,total
2025-11-29,1,pizza,Veggie  ,lARGE,1,yes,12.51,12.51
2025-11-29,1,salad,GARDEN SALAD ,,1,,5.5,N/A
2025-11-29,2,pizza,HAWAIIAN (ham & pineapple),Medium,2,False,9.5,19.0
2025-11-29,2,drink,Lemonade ,,1,,3.5 ,0
2025-11-29,3,pizza,margherita - Fresh basil,lARGE,4,False,12.49,49.96
2025-11-29,3,drink,Soda,,1,,2.5,2.5
2025-11-29,3,salad,GARDEN SALAD ,,1,,5.5,5.5
2025-11-29,4,pizza,Veggie  ,lARGE,2,True,12.22,24.44
2025-11-29,4,drink,ICED TEA,,1,,3.0,3.0
2025-11-29,5,pizza,Veggie  ,Medium,N/A,false,12.78,12.78
2025-11-29,6,pizza,Meat Lovers!,L ,3,false,N/A,0
2025-11-29,6,salad,Caesar Salad,,1,,6.5 ,0
2025-11-29,7,pizza,Meat Lovers!,lARGE,4,True,10.51,42.04
2025-11-29,8,pizza,HAWAIIAN (ham & pineapple),Medium,4,false,N/A,0
2025-11-29,8,drink,Soda,,1,,2.5,2.5
2025-11-29,8,salad,GARDEN SALAD ,,N/A,,5.5,5.5 
2025-11-29,9,pizza,Pepperoni-double,m,3,True,13.4,40.2
2025-11-29,10,pizza,HAWAIIAN (ham & pineapple),m,4 ,false,11.53 ,0
2025-11-29,10,drink,water,,2,,1.5,3.0 
2025-11-29,11,pizza,margherita - Fresh basil,Medium,1,false,12.25,12.25
2025-11-29,12,pizza,Meat Lovers!,xl,3,yes,14.55,43.65
2025-11-29,13,pizza,Four cheese,Medium,3,yes,16.43,49.29
2025-11-29,13,drink,Soda,,2,,2.5,N/A
2025-11-29,14,pizza,Meat Lovers!,xl,3,yes,9.19,27.57
2025-11-29,14,salad,greek salad,,1 ,,7.0,7.0 
2025-11-29,15,pizza,Veggie  ,S,1,yes,N/A,0
2025-11-29,16,pizza,HAWAIIAN (ham & pineapple),m,3,false,10.15,30.45
2025-11-29,16,salad,Caesar Salad,,1,,6.5,6.5
2025-11-29,17,pizza,margherita - Fresh basil,m,N/A,True,12.21,12.21
2025-11-29,17,salad,Caesar Salad,,1,,6.5,6.5
2025-11-29,18,pizza,Four cheese,m,4,yes,15.63,62.52
2025-11-29,18,drink,water,,N/A,,1.5,1.5
2025-11-29,19,pizza,Meat Lovers!,lARGE,1,false,10.16,10.16
