date,order_id,item_type,item_name,size,quantity,extra_cheese,unit_price,total
2025-11-30,1,pizza,Meat Lovers!,L ,1.0,yes,11.84,11.84
2025-11-30,2,pizza,margherita - Fresh basil,S,1.0,False,11.44,11.44
2025-11-30,3,pizza,Meat Lovers!,lARGE,3.0,False,9.89,29.67
2025-11-30,4,pizza,margherita - Fresh basil,Medium,,True,7.16,7.16
2025-11-30,5,pizza,Pepperoni-double,L ,1.0,yes,6.98,6.98
2025-11-30,6,pizza,Meat Lovers!,L ,4.0,TRUE,11.08,11.08
2025-11-30,7,pizza,HAWAIIAN (ham & pineapple),m,1.0,True,13.71,13.71
2025-11-30,8,pizza,bbq chicken,lARGE,2.0,False,15.74,31.48
2025-11-30,9,pizza,bbq chicken,xl,3.0,false,7.98,7.98
2025-11-30,9,drink,water,,2.0,,1.5,0.0
2025-11-30,10,pizza,margherita - Fresh basil,lARGE,4.0,TRUE,13.66,
2025-11-30,10,drink,Lemonade ,,2.0,,3.5,3.5
2025-11-30,11,pizza,HAWAIIAN (ham & pineapple),Medium,4.0,TRUE,11.7,46.8
2025-11-30,11,drink,water,,1.0,,1.5,1.5
2025-11-30,12,pizza,Pepperoni-double,S,2.0,TRUE,8.82,17.64
2025-11-30,12,drink,water,,2.0,,1.5,3.0
2025-11-30,12,salad,Caesar Salad,,1.0,,6.5,6.5
2025-11-30,13,pizza,Veggie  ,S,1.0,false,12.6,0.0
2025-11-30,13,drink,water,,2.0,,1.5,3.0
2025-11-30,13,salad,Caesar Salad,,1.0,,6.5,6.5
2025-11-30,14,pizza,Meat Lovers!,Medium,3.0,True,7.25,0.0
2025-11-30,15,pizza,Four cheese,Medium,2.0,false,10.83,21.66
2025-11-30,15,drink,Soda,,2.0,,,0.0
2025-11-30,16,pizza,bbq chicken,L ,2.0,false,8.08,16.16
2025-11-30,16,salad,Caesar Salad,,1.0,,6.5,0.0
2025-11-30,17,pizza,Veggie  ,Medium,1.0,False,11.01,11.01
2025-11-30,17,salad,Caesar Salad,,1.0,,6.5,6.5
